last name,first name,position,team,year,average salary
Jackson,Justin,Small Forward,SAC,2017,2586720
Papagiannis,Georgios,Center,SAC,2017,2251800
Giles,Harry,Power Forward,SAC,2017,2033220
Richardson,Malachi,Shooting Guard,SAC,2017,1472220
Mason,Frank,Point Guard,SAC,2017,1393716
Labissiere,Skal,Power Forward,SAC,2017,1215540
Jones,Matt,Guard,SAC,2017,815615
Williams,Marcus,Point Guard,SAC,2017,815615
Aldridge,LaMarcus,Power Forward,SAS,2017,21018008
Leonard,Kawhi,Small Forward,SAS,2017,18868625
Gasol,Pau,Power Forward,SAS,2017,16000000
Parker,Tony,Point Guard,SAS,2017,14445313
Mills,Patrick,Point Guard,SAS,2017,12428571
Green,Danny,Shooting Guard,SAS,2017,10000000
Gay,Rudy,Small Forward,SAS,2017,8616150
Ginobili,Manu,Shooting Guard,SAS,2017,2500000
Lauvergne,Joffrey,Power Forward,SAS,2017,1590199
White,Derrick,Point Guard,SAS,2017,1535880
Murray,Dejounte,Point Guard,SAS,2017,1206660
Anderson,Kyle,Small Forward,SAS,2017,1142880
Paul,Brandon,Shooting Guard,SAS,2017,1096929
Brimah,Amida,Center,SAS,2017,815615
Perrantes,London,Guard,SAS,2017,815615
Bertans,Davis,Small Forward,SAS,2017,724360
Forbes,Bryn,Shooting Guard,SAS,2017,724360
Lowry,Kyle,Point Guard,TOR,2017,33333333
DeRozan,DeMar,Shooting Guard,TOR,2017,27800000
Ibaka,Serge,Power Forward,TOR,2017,21666667
Valanciunas,Jonas,Center,TOR,2017,16000000
Miles,C.J.,Shooting Guard,TOR,2017,8333333
Poeltl,Jakob,Center,TOR,2017,2764800
Nogueira,Lucas,Center,TOR,2017,2118326
Anunoby,OG,Small Forward,TOR,2017,1798980
Caboclo,Bruno,Small Forward,TOR,2017,1755806
Wright,Delon,Point Guard,TOR,2017,1577280
McDaniels,K.J.,Shooting Guard,TOR,2017,1524305
Siakam,Pascal,Power Forward,TOR,2017,1222980
McKinnie,Alfonzo,Power Forward,TOR,2017,1096929
Powell,Norman,Shooting Guard,TOR,2017,846461
Meeks,Kennedy,Power Forward,TOR,2017,815615
Rautins,Andy,Shooting Guard,TOR,2017,815615
VanVleet,Fred,Point Guard,TOR,2017,724360
Gobert,Rudy,Center,UTA,2017,25500000
Rubio,Ricky,Point Guard,UTA,2017,13750000
Ingles,Joe,Small Forward,UTA,2017,13000000
Favors,Derrick,Power Forward,UTA,2017,11737500
Johnson,Joe,Small Forward,UTA,2017,10752500
Burks,Alec,Point Guard,UTA,2017,10500000
Sefolosha,Thabo,Small Forward,UTA,2017,5250000
Jerebko,Jonas,Power Forward,UTA,2017,4100000
Exum,Dante,Shooting Guard,UTA,2017,4081356
Udoh,Ekpe,Power Forward,UTA,2017,3280000
Mitchell,Donovan,Shooting Guard,UTA,2017,2866380
Hood,Rodney,Shooting Guard,UTA,2017,1608046
Bradley,Tony,Center,UTA,2017,1547220
O'Neal,Royce,Forward,UTA,2017,1270792
Neto,Raul,Point Guard,UTA,2017,910849
Bolomboy,Joel,Power Forward,UTA,2017,851837
Braun,Taylor,Guard,UTA,2017,815615
Long,Naz,Point Guard,UTA,2017,815615
PorterJr.,Otto,Small Forward,WAS,2017,26631244
Beal,Bradley,Shooting Guard,WAS,2017,25434263
Wall,John,Point Guard,WAS,2017,16957900
Mahinmi,Ian,Center,WAS,2017,16000000
Gortat,Marcin,Center,WAS,2017,12000000
Morris,Markieff,Power Forward,WAS,2017,8000000
Smith,Jason,Power Forward,WAS,2017,5225000
